F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_SimpleSpelling,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
433100,430000,2,433100,湘西土家族苗族自治州,xxtjzmzzzz,433100,,TRUE,,2016/7/20 0:00,,,,,
440100,440000,2,440100,广州市,gzs,440100,,TRUE,,2016/7/20 0:00,,,,,
440200,440000,2,440200,韶关市,sgs,440200,,TRUE,,2016/7/20 0:00,,,,,
440300,440000,2,440300,深圳市,szs,440300,,TRUE,,2016/7/20 0:00,,,,,
440400,440000,2,440400,珠海市,zhs,440400,,TRUE,,2016/7/20 0:00,,,,,
440500,440000,2,440500,汕头市,sts,440500,,TRUE,,2016/7/20 0:00,,,,,
440600,440000,2,440600,佛山市,fss,440600,,TRUE,,2016/7/20 0:00,,,,,
440700,440000,2,440700,江门市,jms,440700,,TRUE,,2016/7/20 0:00,,,,,
440800,440000,2,440800,湛江市,zjs,440800,,TRUE,,2016/7/20 0:00,,,,,
440900,440000,2,440900,茂名市,mms,440900,,TRUE,,2016/7/20 0:00,,,,,
441200,440000,2,441200,肇庆市,zqs,441200,,TRUE,,2016/7/20 0:00,,,,,
441300,440000,2,441300,惠州市,hzs,441300,,TRUE,,2016/7/20 0:00,,,,,
441400,440000,2,441400,梅州市,mzs,441400,,TRUE,,2016/7/20 0:00,,,,,
441500,440000,2,441500,汕尾市,sws,441500,,TRUE,,2016/7/20 0:00,,,,,
441600,440000,2,441600,河源市,hys,441600,,TRUE,,2016/7/20 0:00,,,,,
441700,440000,2,441700,阳江市,yjs,441700,,TRUE,,2016/7/20 0:00,,,,,
441800,440000,2,441800,清远市,qys,441800,,TRUE,,2016/7/20 0:00,,,,,
445100,440000,2,445100,潮州市,czs,445100,,TRUE,,2016/7/20 0:00,,,,,
445200,440000,2,445200,揭阳市,jys,445200,,TRUE,,2016/7/20 0:00,,,,,
445300,440000,2,445300,云浮市,yfs,445300,,TRUE,,2016/7/20 0:00,,,,,
450100,450000,2,450100,南宁市,nns,450100,,TRUE,,2016/7/20 0:00,,,,,
450200,450000,2,450200,柳州市,lzs,450200,,TRUE,,2016/7/20 0:00,,,,,
450300,450000,2,450300,桂林市,gls,450300,,TRUE,,2016/7/20 0:00,,,,,
450400,450000,2,450400,梧州市,wzs,450400,,TRUE,,2016/7/20 0:00,,,,,
450500,450000,2,450500,北海市,bhs,450500,,TRUE,,2016/7/20 0:00,,,,,
450600,450000,2,450600,防城港市,fcgs,450600,,TRUE,,2016/7/20 0:00,,,,,
450700,450000,2,450700,钦州市,qzs,450700,,TRUE,,2016/7/20 0:00,,,,,
450800,450000,2,450800,贵港市,ggs,450800,,TRUE,,2016/7/20 0:00,,,,,
450900,450000,2,450900,玉林市,yls,450900,,TRUE,,2016/7/20 0:00,,,,,
451000,450000,2,451000,百色市,bss,451000,,TRUE,,2016/7/20 0:00,,,,,
451100,450000,2,451100,贺州市,hzs,451100,,TRUE,,2016/7/20 0:00,,,,,
451200,450000,2,451200,河池市,hcs,451200,,TRUE,,2016/7/20 0:00,,,,,
451300,450000,2,451300,来宾市,lbs,451300,,TRUE,,2016/7/20 0:00,,,,,
451400,450000,2,451400,崇左市,czs,451400,,TRUE,,2016/7/20 0:00,,,,,
460100,460000,2,460100,海口市,hks,460100,,TRUE,,2016/7/20 0:00,,,,,
500100,500000,2,500100,重庆市,zqs,500100,,TRUE,,2016/7/20 0:00,,,,,
510100,510000,2,510100,成都市,cds,510100,,TRUE,,2016/7/20 0:00,,,,,
510300,510000,2,510300,自贡市,zgs,510300,,TRUE,,2016/7/20 0:00,,,,,
510400,510000,2,510400,攀枝花市,pzhs,510400,,TRUE,,2016/7/20 0:00,,,,,
510500,510000,2,510500,泸州市,lzs,510500,,TRUE,,2016/7/20 0:00,,,,,
510700,510000,2,510700,绵阳市,mys,510700,,TRUE,,2016/7/20 0:00,,,,,
510800,510000,2,510800,广元市,gys,510800,,TRUE,,2016/7/20 0:00,,,,,
510900,510000,2,510900,遂宁市,sns,510900,,TRUE,,2016/7/20 0:00,,,,,
511000,510000,2,511000,内江市,njs,511000,,TRUE,,2016/7/20 0:00,,,,,
511100,510000,2,511100,乐山市,yss,511100,,TRUE,,2016/7/20 0:00,,,,,
511300,510000,2,511300,南充市,ncs,511300,,TRUE,,2016/7/20 0:00,,,,,
511400,510000,2,511400,眉山市,mss,511400,,TRUE,,2016/7/20 0:00,,,,,
511500,510000,2,511500,宜宾市,ybs,511500,,TRUE,,2016/7/20 0:00,,,,,
511600,510000,2,511600,广安市,gas,511600,,TRUE,,2016/7/20 0:00,,,,,
511700,510000,2,511700,达州市,dzs,511700,,TRUE,,2016/7/20 0:00,,,,,
511800,510000,2,511800,雅安市,yas,511800,,TRUE,,2016/7/20 0:00,,,,,
511900,510000,2,511900,巴中市,bzs,511900,,TRUE,,2016/7/20 0:00,,,,,
512000,510000,2,512000,资阳市,zys,512000,,TRUE,,2016/7/20 0:00,,,,,
513200,510000,2,513200,阿坝藏族羌族自治州,abzzqzzzz,513200,,TRUE,,2016/7/20 0:00,,,,,
513300,510000,2,513300,甘孜藏族自治州,gzzzzzz,513300,,TRUE,,2016/7/20 0:00,,,,,
513400,510000,2,513400,凉山彝族自治州,lsyzzzz,513400,,TRUE,,2016/7/20 0:00,,,,,
520100,520000,2,520100,贵阳市,gys,520100,,TRUE,,2016/7/20 0:00,,,,,
520200,520000,2,520200,六盘水市,lpss,520200,,TRUE,,2016/7/20 0:00,,,,,
520300,520000,2,520300,遵义市,zys,520300,,TRUE,,2016/7/20 0:00,,,,,
520400,520000,2,520400,安顺市,ass,520400,,TRUE,,2016/7/20 0:00,,,,,
522200,520000,2,522200,铜仁市,trs,522200,,TRUE,,2016/7/20 0:00,,,,,
522300,520000,2,522300,黔西南布依族苗族自治州,qxnbyzmzzzz,522300,,TRUE,,2016/7/20 0:00,,,,,
522400,520000,2,522400,毕节市,bjs,522400,,TRUE,,2016/7/20 0:00,,,,,
522600,520000,2,522600,黔东南苗族侗族自治州,qdnmztzzzz,522600,,TRUE,,2016/7/20 0:00,,,,,
522700,520000,2,522700,黔南布依族苗族自治州,qnbyzmzzzz,522700,,TRUE,,2016/7/20 0:00,,,,,
